(1;1)
(2;0.9968634573089642)
(3;0.9601995669451635)
(4;0.958336075527279)
(5;0.9091504881799232)
(6;0.8616112497727566)
(7;0.8460864450279663)
(8;0.8310402491205742)
(12;0.8178846358338506)
(16;0.8194654152556528)
(20;0.8041493389373331)
(25;0.773682267692314)
(29;0.7515573841426074)
(32;0.7399111181321432)
(36;0.7260738954897725)
